Blyth's Kingfisher,0
Common Kingfisher,0
Blue-eared Kingfisher,0
Three-toed Kingfisher,0
Stork-billed Kingfisher,0
Ruddy Kingfisher,0
White-throated Kingfisher,0
Black-capped Kingfisher,0
Collared Kingfisher,0
Crested Kingfisher,0
Pied Kingfisher,0
Blue-bearded Bee-eater,0
Little Green Bee-eater,0
Blue-throated Bee-eater,0
Blue-tailed Bee-eater,0
European Bee-eater,0
Chestnut-headed Bee-eater,0
Pied Cuckoo,0
Chestnut-winged Cuckoo,0
Large Hawk-Cuckoo,0
Common Hawk Cuckoo,0
Hodgson's Hawk-Cuckoo,0
Indian Cuckoo,0
Eurasian Cuckoo,0
Oriental Cuckoo,0
Lesser Cuckoo,0
Cuckoo Banded Bay,0
Plaintive Cuckoo,0
Asian Emerald Cuckoo,0
Violet Cuckoo,0
Drongo Cuckoo,0
Asian Koel,0
Green-billed Malkoha,0
Greater Coucal,0
Lesser Coucal,0
Rainbow Lorikeet,0
Yellow-crested Cockatoo,0
Vernal Hanging-Parrot,0
Rose-ringed Parakeet,0
Slaty-headed Parakeet,0
Blossom-headed Parakeet,0
Derby's Parakeet,0
Red-breasted Parakeet,0
Long-tailed Parakeet,0
Himalayan Swiftlet,0
Germain's Swiftlet,0
White-throated Needletail,0
Silver-backed Needletail,0
Asian Palm swift,0
Alpine Swift,0
Common Swift,0
Fork-tailed Swift,0
HouseSwift,0
Crested Treeswift,0
Barn Owl,0
Grass Owl,0
Oriental Bay Owl,0
Sptoted Scops Owl,0
Striated Scops Owl,0
Scops Owl,0
Oriental Scops Owl,0
Elegant Scops Owl,0
Collared Scops Owl,0
Eurasian Eagle Owl,0
Spot-bellied Eagle Owl,0
Dusky Horned owl,0
Blakiston's Fish Owl,0
Brown Fish Owl,0
Tawny Fish Owl,0
Snowy Owl,0
Brown Wood Owl,0
Tawny Wood Owl,0
Ural Owl,0
Sichuan Wood-owl,0
Great Grey Owl,0
Northern Hawk Owl,0
Pigmy Owlet,0
Collared Owlet,0
Barred Owlet,0
Little Owl,0
Spotted Owlet,0
Tengalm's Owl,0
Brown Hawk Owl,0
Long-eared Owl,0
Short-eared Owl,0
Hodgson's Frogmouth,0
Great Eared Nightjar,0
Grey Nightjar,326
Eurasian Nightjar,500
Egyptian Nightjar,341
Vaurie's Nightjar,466
Large-tailed Nightjar,346
Savannah Nightjar,319
Rock Pigeon,334
Hill Pigeon,322
Snow Pigeon,333
Stock Pigeon,339
Yellow-eyed Pigeon,350
Common Wood Pigeon,343
Speckled Wood Pigeon,253
Ashy Wood Pigeon,375
Purple Wood Pigeon,328
Japanese Wood Pigeon日本,330
Turtle Dove,500
Oriental Turtle Dove,351
Palm Dove,346
Spotted Dove,340
Red Collared Dove,333
Eurasian Collared Dove,500
Bar-tailed Cuckoo Dove,500
Brown Cuckoo Dove,500
Little Cuckoo Dove,454
Emerald Dove,358
Orange-breasted Green-Pig,437
Pompadour Green Pigeon,498
Thick-billed Green Pigeon,429
Yellow-footed Green-Pigeo,497
Pin-tailed Green Pigeon,500
Wedge-tailed Green Pigeon,498
White-bellied Green-Pigeo,500
Whistling Green Pigeon,500
Black-chinned Fruit Pigeon,500
Green Imperial Pigeon,438
Mountain Imperial Pigeon,323
Little Bustard,500
Great Bustard,309
McQueen's Bustard,498
Siberian Crane,345
Sarus Crane,500
White-naped Crane,500
Sandhill Crane,500
Demoiselle Crane,500
Common Crane,500
Hooded Crane,348
Black-necked Crane,343
Red-crowned Crane,500
Swinhoe's Yellow Rail,307
Red-legged Crake,333
Slaty-legged Crake,470
Slaty-breasted Rail,322
Water Rail,351
Corn Crake,500
Brown Crake,499
White-breasted Waterhen,500
Rufous-backed Crake,500
Little Crake,247
Baillon's Crake,334
Spotted Crake,258
Ruddy-breasted Crake,312
Band-bellied Crake,286
White-Browed Crake,326
Watercock,339
Purple Swamphen,356
Common Moorhen,353
Common Coot,354
Tibetan Sandgrouse,329
Pallas's Sandgrouse,262
Black-bellied Sandgrouse,269
Eurasian Woodcock,327
Solitary Snipe,341
Latham's Snipe,500
Wood Snipe,500
Pintail Snipe,500
Swinhoe's Snipe,463
Common Snipe,346
Jack Snipe,338
Black-tailed Godwit,191
Bar-tailed Godwit,273
Little Curlew,498
Whimbrel,500
Eurasian Curlew,348
Far Eastern Curlew,332
Spotted Redshank,500
Common Redshank,500
Marsh Sandpiper,500
Common Greenshank,500
Spotted Greenshank,500
Lesser Yellowlegs,500
Green Sandpiper,354
Wood Sandpiper,500
Terek Sandpiper,352
Common Sandpiper,500
Grey-tailed Tattler,500
Wandering Tattler,500
Ruddy Turnstone,367
Long-billed Dowitcher,500
Asian Dowitcher,467
Great Knot,500
Red Knot,500
Sanderling,346
Western Sandpiper,350
Spoon-billed Sandpiper,348
Little Stint,349
Rufous-necked Stint,327
Temminck's Stint,354
Long-toed Stint,500
White-Rumped Sandpiper,500
Baird's Sandpiper,500
Pectoral Sandpiper,500
Sharp-tailed Sandpiper,329
Rock Sandpiper,344
Dunlin,343
Curlew Sandpiper,343
